trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
101_20121001,4:30:00,4:30:00,San Jose,1,,,
101_20121001,4:35:00,4:35:00,Santa Clara,2,,,
101_20121001,4:40:00,4:40:00,Lawrence,3,,,
101_20121001,4:44:00,4:44:00,Sunnyvale,4,,,
101_20121001,4:49:00,4:49:00,Mountain View,5,,,
101_20121001,4:53:00,4:53:00,San Antonio,6,,,
101_20121001,4:57:00,4:57:00,California Ave,7,,,
101_20121001,5:01:00,5:01:00,Palo Alto,8,,,
101_20121001,5:04:00,5:04:00,Menlo Park,9,,,
101_20121001,5:09:00,5:09:00,Redwood City,10,,,
101_20121001,5:13:00,5:13:00,San Carlos,11,,,
101_20121001,5:16:00,5:16:00,Belmont,12,,,
101_20121001,5:19:00,5:19:00,Hillsdale,13,,,
101_20121001,5:22:00,5:22:00,Hayward Park,14,,,
101_20121001,5:25:00,5:25:00,San Mateo,15,,,
101_20121001,5:28:00,5:28:00,Burlingame,16,,,
101_20121001,5:33:00,5:33:00,Millbrae,17,,,
101_20121001,5:37:00,5:37:00,San Bruno,18,,,
101_20121001,5:41:00,5:41:00,So. San Francisco,19,,,
101_20121001,5:47:00,5:47:00,Bayshore,20,,,
101_20121001,5:52:00,5:52:00,22nd Street,21,,,
101_20121001,6:01:00,6:01:00,San Francisco,22,,,
102_20121001,4:55:00,4:55:00,San Francisco,1,,,
102_20121001,5:00:00,5:00:00,22nd Street,2,,,
102_20121001,5:05:00,5:05:00,Bayshore,3,,,
102_20121001,5:11:00,5:11:00,So. San Francisco,4,,,
102_20121001,5:15:00,5:15:00,San Bruno,5,,,
102_20121001,5:19:00,5:19:00,Millbrae,6,,,
102_20121001,5:23:00,5:23:00,Burlingame,7,,,
102_20121001,5:26:00,5:26:00,San Mateo,8,,,
102_20121001,5:29:00,5:29:00,Hayward Park,9,,,
102_20121001,5:32:00,5:32:00,Hillsdale,10,,,
102_20121001,5:35:00,5:35:00,Belmont,11,,,
102_20121001,5:38:00,5:38:00,San Carlos,12,,,
102_20121001,5:43:00,5:43:00,Redwood City,13,,,
102_20121001,5:48:00,5:48:00,Menlo Park,14,,,
102_20121001,5:51:00,5:51:00,Palo Alto,15,,,
102_20121001,5:55:00,5:55:00,California Ave,16,,,
102_20121001,5:59:00,5:59:00,San Antonio,17,,,
102_20121001,6:03:00,6:03:00,Mountain View,18,,,
102_20121001,6:08:00,6:08:00,Sunnyvale,19,,,
102_20121001,6:12:00,6:12:00,Lawrence,20,,,
102_20121001,6:17:00,6:17:00,Santa Clara,21,,,
102_20121001,6:26:00,6:26:00,San Jose,22,,,
103_20121001,4:58:00,4:58:00,Tamien,1,,,
103_20121001,5:05:00,5:05:00,San Jose,2,,,
103_20121001,5:10:00,5:10:00,Santa Clara,3,,,
103_20121001,5:15:00,5:15:00,Lawrence,4,,,
103_20121001,5:19:00,5:19:00,Sunnyvale,5,,,
103_20121001,5:24:00,5:24:00,Mountain View,6,,,
103_20121001,5:28:00,5:28:00,San Antonio,7,,,
103_20121001,5:32:00,5:32:00,California Ave,8,,,
103_20121001,5:36:00,5:36:00,Palo Alto,9,,,
103_20121001,5:39:00,5:39:00,Menlo Park,10,,,
103_20121001,5:44:00,5:44:00,Redwood City,11,,,
103_20121001,5:48:00,5:48:00,San Carlos,12,,,
103_20121001,5:51:00,5:51:00,Belmont,13,,,
103_20121001,5:54:00,5:54:00,Hillsdale,14,,,
103_20121001,5:57:00,5:57:00,Hayward Park,15,,,
103_20121001,6:00:00,6:00:00,San Mateo,16,,,
103_20121001,6:03:00,6:03:00,Burlingame,17,,,
103_20121001,6:08:00,6:08:00,Millbrae,18,,,
103_20121001,6:12:00,6:12:00,San Bruno,19,,,
103_20121001,6:16:00,6:16:00,So. San Francisco,20,,,
103_20121001,6:22:00,6:22:00,Bayshore,21,,,
103_20121001,6:27:00,6:27:00,22nd Street,22,,,
103_20121001,6:36:00,6:36:00,San Francisco,23,,,
104_20121001,5:25:00,5:25:00,San Francisco,1,,,
104_20121001,5:30:00,5:30:00,22nd Street,2,,,
104_20121001,5:35:00,5:35:00,Bayshore,3,,,
104_20121001,5:41:00,5:41:00,So. San Francisco,4,,,
104_20121001,5:45:00,5:45:00,San Bruno,5,,,
104_20121001,5:49:00,5:49:00,Millbrae,6,,,
104_20121001,5:53:00,5:53:00,Burlingame,7,,,
104_20121001,5:56:00,5:56:00,San Mateo,8,,,
104_20121001,5:59:00,5:59:00,Hayward Park,9,,,
104_20121001,6:02:00,6:02:00,Hillsdale,10,,,
104_20121001,6:05:00,6:05:00,Belmont,11,,,
104_20121001,6:08:00,6:08:00,San Carlos,12,,,
104_20121001,6:13:00,6:13:00,Redwood City,13,,,
104_20121001,6:18:00,6:18:00,Menlo Park,14,,,
104_20121001,6:21:00,6:21:00,Palo Alto,15,,,
104_20121001,6:25:00,6:25:00,California Ave,16,,,
104_20121001,6:29:00,6:29:00,San Antonio,17,,,
104_20121001,6:33:00,6:33:00,Mountain View,18,,,
104_20121001,6:38:00,6:38:00,Sunnyvale,19,,,
104_20121001,6:42:00,6:42:00,Lawrence,20,,,
104_20121001,6:47:00,6:47:00,Santa Clara,21,,,
104_20121001,6:56:00,6:56:00,San Jose,22,,,
104_20121001,7:03:00,7:03:00,Tamien,23,,,
134_20121001,9:07:00,9:07:00,San Francisco,1,,,
134_20121001,9:12:00,9:12:00,22nd Street,2,,,
134_20121001,9:17:00,9:17:00,Bayshore,3,,,
134_20121001,9:23:00,9:23:00,So. San Francisco,4,,,
134_20121001,9:27:00,9:27:00,San Bruno,5,,,
134_20121001,9:31:00,9:31:00,Millbrae,6,,,
134_20121001,9:35:00,9:35:00,Burlingame,7,,,
134_20121001,9:38:00,9:38:00,San Mateo,8,,,
134_20121001,9:41:00,9:41:00,Hayward Park,9,,,
134_20121001,9:44:00,9:44:00,Hillsdale,10,,,
134_20121001,9:47:00,9:47:00,Belmont,11,,,
