trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
101_20121001,4:30,4:30,San Jose,1,,,
101_20121001,4:35,4:35,Santa Clara,2,,,
101_20121001,4:40,4:40,Lawrence,3,,,
101_20121001,4:44,4:44,Sunnyvale,4,,,
101_20121001,4:49,4:49,Mountain View,5,,,
101_20121001,4:53,4:53,San Antonio,6,,,
102_20121001,4:55,4:55,San Francisco,1,,,
101_20121001,4:57,4:57,California Ave,7,,,
103_20121001,4:58,4:58,Tamien,1,,,
102_20121001,5:00,5:00,22nd Street,2,,,
101_20121001,5:01,5:01,Palo Alto,8,,,
101_20121001,5:04,5:04,Menlo Park,9,,,
102_20121001,5:05,5:05,Bayshore,3,,,
103_20121001,5:05,5:05,San Jose,2,,,
101_20121001,5:09,5:09,Redwood City,10,,,
103_20121001,5:10,5:10,Santa Clara,3,,,
102_20121001,5:11,5:11,So. San Francisco,4,,,
101_20121001,5:13,5:13,San Carlos,11,,,
102_20121001,5:15,5:15,San Bruno,5,,,
103_20121001,5:15,5:15,Lawrence,4,,,
101_20121001,5:16,5:16,Belmont,12,,,
101_20121001,5:19,5:19,Hillsdale,13,,,
102_20121001,5:19,5:19,Millbrae,6,,,
103_20121001,5:19,5:19,Sunnyvale,5,,,
101_20121001,5:22,5:22,Hayward Park,14,,,
102_20121001,5:23,5:23,Burlingame,7,,,
103_20121001,5:24,5:24,Mountain View,6,,,
101_20121001,5:25,5:25,San Mateo,15,,,
104_20121001,5:25,5:25,San Francisco,1,,,
102_20121001,5:26,5:26,San Mateo,8,,,
101_20121001,5:28,5:28,Burlingame,16,,,
103_20121001,5:28,5:28,San Antonio,7,,,
102_20121001,5:29,5:29,Hayward Park,9,,,
104_20121001,5:30,5:30,22nd Street,2,,,
102_20121001,5:32,5:32,Hillsdale,10,,,
103_20121001,5:32,5:32,California Ave,8,,,
101_20121001,5:33,5:33,Millbrae,17,,,
102_20121001,5:35,5:35,Belmont,11,,,
104_20121001,5:35,5:35,Bayshore,3,,,
103_20121001,5:36,5:36,Palo Alto,9,,,
101_20121001,5:37,5:37,San Bruno,18,,,
102_20121001,5:38,5:38,San Carlos,12,,,
103_20121001,5:39,5:39,Menlo Park,10,,,
101_20121001,5:41,5:41,So. San Francisco,19,,,
104_20121001,5:41,5:41,So. San Francisco,4,,,
102_20121001,5:43,5:43,Redwood City,13,,,
103_20121001,5:44,5:44,Redwood City,11,,,
